title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/Aryan-Akhilesh/My-to-do-app;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/Aryan-Akhilesh/Portfolio_Website;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/Aryan-Akhilesh/PDF_Template;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/Aryan-Akhilesh/PDF_Invoices;4.png
Tech News Script;A script that takes data from a news API and sends it by email every morning;https://github.com/Aryan-Akhilesh/Tech_News_Script;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/Aryan-Akhilesh/Weather_API;6.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view. Work in Progress;https://github.com/Aryan-Akhilesh/Motion_detector;11.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/Aryan-Akhilesh/Weather_forecast;16.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours. Next project;https://github.com/Aryan-Akhilesh/tour_scraper;8.png


